id,episode_id,kind,retried,recovered,elapsed_ms,ua_class,detail,at
1,ultimate-ultimate-art-bell-collection--2003-10-25_-_Coast_to_Coast_AM_with_Art_Bell_-__Paul_Moller_-_Skycars___Vampires__classic_,timeout,t,f,12000,desktop-chromium,,2026-07-29 03:14:27.119282+00
2,ultimate-ultimate-art-bell-collection--1997-07-28_-_Coast_to_Coast_AM_with_Art_Bell_-__Ufologist__Men_in_Black_-_Open_Lines_-_Jim_Dilettoso,play-rejected,t,f,1,ios-safari,,2026-07-29 03:16:09.718897+00
3,ultimate-ultimate-art-bell-collection--2013-10-31_-_Dark_Matter_with_Art_Bell_-_Spooky_Matter_-_Ghost_Stories,timeout,t,f,12001,desktop-safari,,2026-07-29 03:36:42.946178+00
4,ultimate-ultimate-art-bell-collection--2003-05-29_-_Coast_to_Coast_AM_with_Art_Bell_-_Cosmology___Consciousness_-_Adair_Butchins,timeout,t,f,12000,desktop-safari,,2026-07-29 03:37:43.711229+00
5,ultimate-ultimate-art-bell-collection--2005-09-18_-_Coast_to_Coast_AM_with_Art_Bell_-_Brendan_Cook___Barbara_McBeath_-_EVP_in_the_House,timeout,t,f,12008,desktop-chromium,,2026-07-29 03:49:02.358653+00
6,ultimate-ultimate-art-bell-collection--1997-07-28_-_Coast_to_Coast_AM_with_Art_Bell_-__Ufologist__Men_in_Black_-_Open_Lines_-_Jim_Dilettoso,timeout,t,f,12000,desktop-chromium,,2026-07-29 04:00:05.644958+00
7,ultimate-ultimate-art-bell-collection--1998-07-27_-_Coast_to_Coast_AM_with_Art_Bell_-_Whitley_Strieber_-_UFO_Phenomena,timeout,t,f,12001,ios-safari,,2026-07-29 04:14:45.473253+00
8,ultimate-ultimate-art-bell-collection--1996-01-19_-_Coast_to_Coast_AM_with_Art_Bell_-_Alien_and_Immortal_Open_Lines,timeout,t,f,12001,android-chrome,,2026-07-29 04:25:02.005174+00
9,ultimate-ultimate-art-bell-collection--1998-07-29_-_Coast_to_Coast_AM_with_Art_Bell_-_Time_Traveler_Line,timeout,t,f,12001,desktop-chromium,,2026-07-29 04:29:32.223749+00
10,ultimate-ultimate-art-bell-collection--1996-01-19_-_Coast_to_Coast_AM_with_Art_Bell_-_Alien_and_Immortal_Open_Lines,timeout,t,f,12001,desktop-firefox,,2026-07-29 04:30:19.014703+00
11,ultimate-ultimate-art-bell-collection--2005-09-18_-_Coast_to_Coast_AM_with_Art_Bell_-_Brendan_Cook___Barbara_McBeath_-_EVP_in_the_House,timeout,t,f,12000,desktop-chromium,,2026-07-29 04:36:09.652174+00
12,ultimate-ultimate-art-bell-collection--1998-07-29_-_Coast_to_Coast_AM_with_Art_Bell_-_Time_Traveler_Line,timeout,t,f,12003,desktop-chromium,,2026-07-29 04:38:20.129544+00
13,ultimate-ultimate-art-bell-collection--1994-02-09_-_Coast_to_Coast_AM_with_Art_Bell_-_Romona_and_Art_Triangle_UFO_Sighting_-_John_Lear,timeout,t,f,12001,desktop-safari,,2026-07-29 04:38:40.599184+00
14,ultimate-ultimate-art-bell-collection--1996-01-19_-_Coast_to_Coast_AM_with_Art_Bell_-_Alien_and_Immortal_Open_Lines,timeout,t,f,12000,desktop-safari,,2026-07-29 04:40:59.378393+00
15,ultimate-ultimate-art-bell-collection--1999-12-00_-_Coast_to_Coast_AM_with_Art_Bell_-__Best_Sound_Clips,timeout,t,f,12002,ios-safari,,2026-07-29 04:45:24.493338+00
16,ultimate-ultimate-art-bell-collection--2003-05-29_-_Coast_to_Coast_AM_with_Art_Bell_-_Cosmology___Consciousness_-_Adair_Butchins,timeout,t,f,12000,ios-safari,,2026-07-29 04:53:59.631698+00
17,ultimate-ultimate-art-bell-collection--1997-01-01_-_Coast_to_Coast_AM_with_Art_Bell_-_Open_Lines,timeout,t,f,12001,ios-safari,,2026-07-29 04:54:48.447388+00
18,ultimate-ultimate-art-bell-collection--2005-02-06_-_Coast_to_Coast_AM_with_Art_Bell_-_Amazing_Open_Lines,timeout,t,f,12003,ios-safari,,2026-07-29 04:55:13.733353+00
19,ultimate-ultimate-art-bell-collection--2004-08-22_-_Coast_to_Coast_AM_with_Art_Bell_-_Open_Lines_-_Time_Travel,timeout,t,f,12001,ios-safari,,2026-07-29 04:55:51.494184+00
20,ultimate-ultimate-art-bell-collection--1996-01-19_-_Coast_to_Coast_AM_with_Art_Bell_-_Alien_and_Immortal_Open_Lines,timeout,t,f,12010,desktop-firefox,,2026-07-29 05:13:24.109821+00
